program,proxyProject,proxyConfig,name,component,subcomponent,materialCategory,materialName,substanceGroup,substanceName,productGroup,productLine,status,massMobilizedBioCert,massMobilizedPrimary,massMobilizedRcCert,massMobilizedRen,massShippedBioCert,massShippedPrimary,massShippedRcCert,massShippedRen,materialMassShipped,materialMassMobilized,date,lastUpdated
WR500,,,Wearable D,Housing,Housing,Aluminum,Au,Aluminum,Au,Wearable,,active,0,3.733339564210497,2.288175861935466,0,0,3.733339564210497,2.288175861935466,0,6.021515426145963,6.021515426145963,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Housing,Housing,Aluminum,Mg,Aluminum,Mg,Wearable,,active,0,1.8260076488685746,1.119165978338804,0,0,1.8260076488685746,1.119165978338804,0,2.9451736272073785,2.9451736272073785,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Housing,Housing,Aluminum,Ti,Aluminum,Ti,Wearable,,active,0,3.9030491120651383,2.39219139126573,0,0,3.9030491120651383,2.39219139126573,0,6.295240503330868,6.295240503330868,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Housing,Housing,Aluminum,Co,Aluminum,Co,Wearable,,active,0,3.1036618098987305,1.902244335099222,0,0,3.1036618098987305,1.902244335099222,0,5.005906144997953,5.005906144997953,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Housing,Housing,Aluminum,Si,Aluminum,Si,Wearable,,active,0,1.073941864957062,0.65822243336078,0,0,1.073941864957062,0.65822243336078,0,1.732164298317842,1.732164298317842,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Battery,Battery,Elements,Co,Elements,Co,Wearable,,active,0,1.2274601613274416,0.5260543548546178,0,0,1.2274601613274416,0.5260543548546178,0,1.7535145161820596,1.7535145161820596,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Battery,Battery,Elements,P,Elements,P,Wearable,,active,0,0.0009093647855568478,0.0003897277652386491,0,0,0.0009093647855568478,0.0003897277652386491,0,0.001299092550795497,0.001299092550795497,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Battery,Battery,Elements,Mn,Elements,Mn,Wearable,,active,0,0.6427290367441645,0.2754553014617848,0,0,0.6427290367441645,0.2754553014617848,0,0.9181843382059494,0.9181843382059494,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Battery,Battery,Elements,Sn,Elements,Sn,Wearable,,active,0,0.9630128512709697,0.41271979340184417,0,0,0.9630128512709697,0.41271979340184417,0,1.375732644672814,1.375732644672814,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Battery,Battery,Elements,Ni,Elements,Ni,Wearable,,active,0,1.2992514398134274,0.556822045634326,0,0,1.2992514398134274,0.556822045634326,0,1.8560734854477534,1.8560734854477534,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Battery,Battery,Elements,Cr,Elements,Cr,Wearable,,active,0,1.46663714605844,0.6285587768821886,0,0,1.46663714605844,0.6285587768821886,0,2.0951959229406287,2.0951959229406287,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Display_assembly,Display_assembly,Plastic,Sn,Plastic,Sn,Wearable,,active,0,0.7557502602996987,0.21316032982812014,0,0,0.7557502602996987,0.21316032982812014,0,0.9689105901278188,0.9689105901278188,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Display_assembly,Display_assembly,Plastic,Fe,Plastic,Fe,Wearable,,active,0,0.9138981169851553,0.2577661355599156,0,0,0.9138981169851553,0.2577661355599156,0,1.171664252545071,1.171664252545071,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Display_assembly,Display_assembly,Plastic,Li,Plastic,Li,Wearable,,active,0,0.7007411474482886,0.19764493902387628,0,0,0.7007411474482886,0.19764493902387628,0,0.8983860864721649,0.8983860864721649,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Display_assembly,Display_assembly,Plastic,Au,Plastic,Au,Wearable,,active,0,0.6273206695732999,0.17693659911041792,0,0,0.6273206695732999,0.17693659911041792,0,0.8042572686837178,0.8042572686837178,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Display_assembly,Display_assembly,Plastic,Ni,Plastic,Ni,Wearable,,active,0,0.27020547361823516,0.07621180025129709,0,0,0.27020547361823516,0.07621180025129709,0,0.34641727386953225,0.34641727386953225,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Display_assembly,Display_assembly,Plastic,P,Plastic,P,Wearable,,active,0,0.6320843320753219,0.17828019622637284,0,0,0.6320843320753219,0.17828019622637284,0,0.8103645283016947,0.8103645283016947,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Taptic,Taptic,Elements,Fe,Elements,Fe,Wearable,,active,0,0.8307383578317062,0.8999665543176818,0,0,0.8307383578317062,0.8999665543176818,0,1.730704912149388,1.730704912149388,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Taptic,Taptic,Elements,Co,Elements,Co,Wearable,,active,0,0.7363977157653696,0.7977641920791505,0,0,0.7363977157653696,0.7977641920791505,0,1.5341619078445201,1.5341619078445201,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Taptic,Taptic,Elements,Zn,Elements,Zn,Wearable,,active,0,0.09032695126460927,0.09785419720332672,0,0,0.09032695126460927,0.09785419720332672,0,0.188181148467936,0.188181148467936,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Taptic,Taptic,Elements,Sn,Elements,Sn,Wearable,,active,0,0.9054464475165022,0.9809003181428774,0,0,0.9054464475165022,0.9809003181428774,0,1.8863467656593795,1.8863467656593795,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Taptic,Taptic,Elements,Ti,Elements,Ti,Wearable,,active,0,1.757090527621812,1.9035147382569633,0,0,1.757090527621812,1.9035147382569633,0,3.6606052658787753,3.6606052658787753,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Speaker,Speaker,Steel,Al,Steel,Al,Wearable,,active,0,0.7838645403130492,0.5225763602086996,0,0,0.7838645403130492,0.5225763602086996,0,1.3064409005217488,1.3064409005217488,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Speaker,Speaker,Steel,Ni,Steel,Ni,Wearable,,active,0,0.41900023141894227,0.2793334876126282,0,0,0.41900023141894227,0.2793334876126282,0,0.6983337190315705,0.6983337190315705,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Speaker,Speaker,Steel,Au,Steel,Au,Wearable,,active,0,0.4361042512866524,0.290736167524435,0,0,0.4361042512866524,0.290736167524435,0,0.7268404188110874,0.7268404188110874,2025-01-15 10:00:00,2025-06-01
WR500,,,Wearable D,Speaker,Speaker,Steel,Zn,Steel,Zn,Wearable,,active,0,0.16103097698135613,0.10735398465423743,0,0,0.16103097698135613,0.10735398465423743,0,0.26838496163559356,0.26838496163559356,2025-01-15 10:00:00,2025-06-01
